Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-01, 10:29:70:35,-0.15,0.921,-0.365,-0.549,0.244,-0.061
2025-02-01, 10:29:70:86,-0.151,0.918,-0.366,-0.183,0.244,0
2025-02-01, 10:29:71:37,-0.149,0.918,-0.369,-0.122,0.305,0
2025-02-01, 10:29:71:87,-0.15,0.919,-0.371,1.77,0.549,0.183
2025-02-01, 10:29:72:38,-0.15,0.921,-0.36,-1.16,0,0.122
2025-02-01, 10:29:72:89,-0.151,0.92,-0.362,0,0.244,0
2025-02-01, 10:29:73:40,-0.151,0.921,-0.354,7.507,2.197,0.671
2025-02-01, 10:29:73:91,-0.171,0.767,-0.027,-12.756,-1.343,4.395
2025-02-01, 10:29:74:42,-0.074,1.083,-0.014,-64.758,-21.484,-42.725
2025-02-01, 10:29:74:93,-0.535,0.814,0.322,9.46,-17.822,-46.082
2025-02-01, 10:29:75:44,-0.905,0.226,0.485,-48.523,67.627,-15.137
2025-02-01, 10:29:75:95,-0.792,0.264,-0.508,84.106,125.916,-56.03
2025-02-01, 10:29:76:46,-0.533,0.075,-0.984,-100.647,11.475,-0.061
2025-02-01, 10:29:76:97,-0.569,0.366,-0.763,-1.831,0.061,0.244
2025-02-01, 10:29:77:48,-0.585,0.361,-0.737,2.563,-0.366,0.305
2025-02-01, 10:29:77:99,-0.563,0.533,-0.802,-38.513,-57.19,-53.04
2025-02-01, 10:29:78:50,-0.385,-1.039,1.205,84.839,59.998,-106.079
2025-02-01, 10:29:79:01,-0.198,-0.264,1.148,0.427,-12.817,44.312
2025-02-01, 10:29:79:52,-0.32,-0.118,0.992,23.804,47.18,-18.86
2025-02-01, 10:29:80:03,-0.581,-0.176,0.776,-18.005,-22.095,9.705
2025-02-01, 10:29:80:54,-0.464,-0.074,0.861,42.297,9.766,2.258
2025-02-01, 10:29:81:05,-0.371,0.027,0.922,9.827,4.15,3.784
2025-02-01, 10:29:81:56,-0.415,0.107,0.881,7.69,4.7,-1.343
2025-02-01, 10:29:82:07,-0.43,0.136,0.889,1.526,1.282,-0.671
2025-02-01, 10:29:82:58,-0.388,0.124,0.922,-8.85,-7.08,3.174
2025-02-01, 10:29:83:09,-0.437,0.12,0.906,1.282,2.014,-1.038
2025-02-01, 10:29:83:60,-0.448,0.119,0.88,-1.587,0.366,1.282
2025-02-01, 10:29:84:11,-0.422,0.08,0.902,0.183,0.427,-1.16
2025-02-01, 10:29:84:62,-0.398,0.088,0.911,0.488,-0.916,-0.366
2025-02-01, 10:29:85:12,-0.471,0.116,0.84,-5.554,-1.038,1.892
2025-02-01, 10:29:85:63,-0.45,0.081,0.884,-3.662,5.798,-9.46
2025-02-01, 10:29:86:14,-0.437,0.1,0.908,7.568,-9.155,12.512
2025-02-01, 10:29:86:65,-0.347,0.008,0.939,-4.578,-0.977,1.282
2025-02-01, 10:29:87:17,-0.355,-0.016,0.932,-0.427,0.122,0.122
2025-02-01, 10:29:87:68,-0.355,-0.017,0.931,0.488,0.977,0.244
2025-02-01, 10:29:88:18,-0.358,-0.016,0.928,-2.991,-1.77,1.16
2025-02-01, 10:29:88:69,-0.35,-0.024,0.931,-2.869,-1.404,0
2025-02-01, 10:29:89:20,-0.344,0.094,0.883,33.691,33.386,-35.889
2025-02-01, 10:29:89:71,-0.459,-0.065,0.875,-3.479,-2.319,-0.732
2025-02-01, 10:30:30:22,-0.454,-0.064,0.89,-0.061,1.404,-1.343
2025-02-01, 10:30:30:73,-0.434,-0.05,0.899,0.305,-8.301,5.066
2025-02-01, 10:30:31:24,-0.414,-0.041,0.903,2.563,2.136,-1.526
2025-02-01, 10:30:31:75,-0.417,-0.039,0.904,-0.916,0.122,0
2025-02-01, 10:30:32:26,-0.416,-0.048,0.91,0.977,0.366,-0.61
2025-02-01, 10:30:32:77,-0.415,-0.035,0.904,0.671,0.671,0.427
2025-02-01, 10:30:33:28,-0.415,-0.041,0.936,0,0.427,-0.488
2025-02-01, 10:30:33:78,-0.411,-0.05,0.908,-1.77,-0.366,0.305
2025-02-01, 10:30:34:29,-0.409,-0.055,0.91,0.061,0.305,0.549
2025-02-01, 10:30:34:80,-0.407,-0.056,0.91,0.244,0.122,0.122
2025-02-01, 10:30:35:31,-0.406,-0.057,0.91,0.061,0.244,0
2025-02-01, 10:30:35:82,-0.406,-0.059,0.912,-0.244,0.183,0
2025-02-01, 10:30:36:33,-0.396,-0.036,0.926,8.057,-1.892,1.892
2025-02-01, 10:30:36:84,-0.396,0.048,0.91,7.263,2.686,-0.305
2025-02-01, 10:30:37:34,-0.408,0.244,0.87,48.95,20.325,17.883
2025-02-01, 10:30:37:85,-0.43,0.343,0.849,2.869,-0.122,-6.348
2025-02-01, 10:30:38:36,-0.296,0.012,0.977,-22.766,0.366,2.136
2025-02-01, 10:30:38:87,-0.317,-0.045,0.949,-1.099,-0.427,0.916
2025-02-01, 10:30:39:38,-0.326,-0.062,0.941,-0.366,0.916,-0.122
2025-02-01, 10:30:39:89,-0.325,-0.062,0.942,0.061,0.305,0.183
2025-02-01, 10:30:40:40,-0.325,-0.068,0.941,0,0.305,0
2025-02-01, 10:30:40:91,-0.328,-0.07,0.938,0.183,0.488,-0.122
2025-02-01, 10:30:41:42,-0.329,-0.071,0.969,-0.122,0.183,0
2025-02-01, 10:30:41:93,-0.328,-0.074,0.939,-0.061,0.183,0.183
